Year,Month,Day,TradingPeriod,PrevAvg$PerMWHr,PrevMed$PerMWHr,SinPeriod,CosPeriod,SinDate,CosDate
2024,8,5,29,830.5893242442206,830.6214946619217,0.9659258262890682,0.2588190451025207,-0.8660254037844385,-0.5000000000000004
2024,7,25,17,493.0775380359613,493.10083044982696,-0.9659258262890684,-0.2588190451025206,-0.4999999999999998,-0.8660254037844387
2023,8,2,37,549.3993333333333,549.4934187016081,-0.2588190451025201,-0.9659258262890684,-0.8660254037844385,-0.5000000000000004
2024,8,8,47,841.7112863070539,841.6903044982699,-0.2588190451025209,0.965925826289068,-0.8660254037844385,-0.5000000000000004
2024,7,20,45,531.4537966804979,531.5345674740485,-0.7071067811865472,0.7071067811865478,-0.4999999999999998,-0.8660254037844387
2024,8,8,41,869.2142461964039,869.2132179930796,-0.965925826289068,-0.2588190451025225,-0.8660254037844385,-0.5000000000000004
2024,8,8,1,827.5420331950207,827.5102629757786,0.2588190451025207,0.9659258262890684,-0.8660254037844385,-0.5000000000000004
2024,7,21,33,558.4413554633471,558.2879031141869,0.7071067811865471,-0.7071067811865479,-0.4999999999999998,-0.8660254037844387
2024,7,4,43,473.1425014819206,473.1562277580071,-0.9659258262890684,0.2588190451025201,-0.4999999999999997,-0.8660254037844388
2024,8,8,26,866.4182821576763,866.4121428571428,0.5,0.8660254037844387,-0.8660254037844385,-0.5000000000000004
2024,8,13,47,733.702276229994,733.7483985765125,-0.2588190451025209,0.9659258262890682,-0.8660254037844385,-0.5000000000000004
2024,8,8,48,821.3995159059475,821.4081176470588,-4.898587196589413e-16,1.0,-0.8660254037844385,-0.5000000000000004
2024,8,2,11,486.8449100968188,486.67262975778544,0.258819045102521,-0.965925826289068,-0.8660254037844385,-0.5000000000000004
2024,7,13,17,458.08430942501474,458.0364472123368,-0.9659258262890682,-0.2588190451025206,-0.4999999999999997,-0.8660254037844388
2024,8,8,16,846.9668227623,846.9804685646501,-0.8660254037844385,-0.5000000000000004,-0.8660254037844385,-0.5000000000000004
2024,8,14,10,528.6379529737206,528.5751141868512,0.5,-0.8660254037844387,-0.8660254037844385,-0.5000000000000004
2024,8,6,47,865.9057814661135,865.9007266435987,-0.2588190451025209,0.965925826289068,-0.8660254037844385,-0.5000000000000004
2024,7,22,45,496.9766804979253,497.0373072360617,-0.7071067811865472,0.7071067811865478,-0.4999999999999997,-0.8660254037844388
2024,8,8,6,771.0393242442206,771.0137188612099,1.0,6.123233995736766e-17,-0.8660254037844385,-0.5000000000000004
2024,8,7,37,899.3831742738589,899.4007335640139,-0.2588190451025201,-0.9659258262890684,-0.8660254037844385,-0.5000000000000004
2024,8,6,40,906.0910539419089,906.1198338870432,-0.8660254037844387,-0.4999999999999998,-0.8660254037844385,-0.5000000000000004
2024,5,29,33,460.80654166666665,460.7113519952353,0.7071067811865471,-0.7071067811865479,0.4999999999999999,-0.8660254037844387
2024,8,3,38,817.0832780082987,817.1658004158004,-0.4999999999999991,-0.8660254037844392,-0.8660254037844385,-0.5000000000000004
2024,8,6,41,892.364806362379,892.3961384083044,-0.965925826289068,-0.2588190451025225,-0.8660254037844385,-0.5000000000000004
2024,7,15,27,475.9983713692946,476.0942575285566,0.7071067811865474,0.7071067811865477,-0.4999999999999998,-0.8660254037844388
2024,1,31,36,555.4466666666667,555.4286360929125,3.673940397442059e-16,-1.0,0.4999999999999999,0.8660254037844387
2023,3,31,16,503.48465421853393,503.3229965397924,-0.8660254037844385,-0.5000000000000004,1.0,6.123233995736766e-17
2024,8,13,32,633.3544457617071,633.2508422301304,0.8660254037844392,-0.4999999999999991,-0.8660254037844385,-0.5000000000000004
2024,5,9,36,646.2695763888888,646.2019874913134,3.673940397442059e-16,-1.0,0.5,-0.8660254037844387
